timestamp_utc,dedupe_stage,canonical_uuid,canonical_name,canonical_summary,alias_uuid,alias_name,alias_summary,alias_episode_uuid,alias_episode_excerpt
2026-03-12T16:36:58.377415+00:00,exact_people,be1c9500-44fd-4176-9005-c9d1a79b2819,Market gardeners,Market gardeners in Paris face difficulties including lack of time to write about their experiences and feeling intimidated by the literary world. They require practice to perfect their craft.,fcba25bc-4aa2-48ab-8a7f-e6c969373a52,,,,
2026-03-12T16:36:58.377483+00:00,llm,be1c9500-44fd-4176-9005-c9d1a79b2819,Market gardeners,Market gardeners in Paris face difficulties including lack of time to write about their experiences and feeling intimidated by the literary world. They require practice to perfect their craft.,add0d770-8f5f-486b-8a96-707b5a377d85,,,,
2026-03-12T17:48:58.813024+00:00,exact_people,be1c9500-44fd-4176-9005-c9d1a79b2819,Market gardeners,Market gardeners in Paris face difficulties including lack of time and feeling intimidated by the literary world; require practice to perfect their craft; Aboreau and Davenne are jardiniers-maraîchers who received a grand gold medal for their work.,ade138cd-6ca4-44e7-92dc-78633d4bf50f,,,,
2026-03-12T17:48:58.813106+00:00,llm,be1c9500-44fd-4176-9005-c9d1a79b2819,Market gardeners,Market gardeners in Paris face difficulties including lack of time and feeling intimidated by the literary world; require practice to perfect their craft; Aboreau and Davenne are jardiniers-maraîchers who received a grand gold medal for their work.,88e21404-7ac5-418b-a38a-8a400af50bfb,,,,
2026-03-12T18:42:01.579233+00:00,exact_geo_hint_partial,1ef12bca-412c-4805-a043-e644a9a081c6,marshes,"Marshes in Paris have several exposures; a roughly square marsh can have four exposures: east, south, west and north, each with its own specific properties.",f1f7a447-24e9-4d1c-a004-43a26307ff17,,,,
2026-03-12T18:42:01.579304+00:00,llm,1ef12bca-412c-4805-a043-e644a9a081c6,marshes,"Marshes in Paris have several exposures; a roughly square marsh can have four exposures: east, south, west and north, each with its own specific properties.",51c71ca1-073c-4873-859c-333f6d71f671,,,,
2026-03-12T20:51:04.994835+00:00,exact,d9fe17ff-4a13-4171-b314-203106c91439,roots,Plant roots are refreshed by water penetrating during the night before being excited to evaporate in the next day's sun.,31474571-d242-4951-a535-32aa19c91f17,,,,
2026-03-12T20:51:04.994862+00:00,exact,d9fe17ff-4a13-4171-b314-203106c91439,roots,Plant roots are refreshed by water penetrating during the night before being excited to evaporate in the next day's sun.,5c901956-a406-4f3a-9c52-e15b0d201d2b,,,,
2026-03-12T21:18:19.359398+00:00,llm,a7778ff1-a67e-445d-86b7-b4696cae7c06,walls,walls are used to shelter ados from north wind; usually built in a square and slope towards the south.,7a8f6f2b-a3a7-439a-9748-8d3f40b6aa9b,,,,
2026-03-12T21:18:19.359443+00:00,llm,a7778ff1-a67e-445d-86b7-b4696cae7c06,walls,walls are used to shelter ados from north wind; usually built in a square and slope towards the south.,e0d39294-3db8-44e0-b62a-cbeca324cab3,,,,
2026-03-12T21:18:19.359466+00:00,llm,a7778ff1-a67e-445d-86b7-b4696cae7c06,walls,walls are used to shelter ados from north wind; usually built in a square and slope towards the south.,edcc7ae0-d647-41bf-bf4d-407968985075,,,,
2026-03-12T21:26:57.959569+00:00,exact,63470977-3a81-456d-845d-1101cc08c86f,fork,"A fork is an indispensable tool for loading and unloading manure, shaping layers and breaking up clods on ploughed beds. It costs between 5-5.50 francs.",6a134cc0-5897-4464-a05e-6713d8235617,,,,
