timestamp_utc,dedupe_stage,canonical_uuid,canonical_name,canonical_summary,alias_uuid,alias_name,alias_summary,alias_episode_uuid,alias_episode_excerpt
2026-02-11T14:00:54.778858+00:00,exact,754b2230-aa78-413e-8105-24af802b699f,Cauliflower,Cauliflower is planted in the open ground in February after being raised under chassis.,a242b344-04e2-40a7-b405-67c628813a77,,,,
2026-02-11T14:00:54.778891+00:00,exact,754b2230-aa78-413e-8105-24af802b699f,Cauliflower,Cauliflower is planted in the open ground in February after being raised under chassis.,d6c6ddbc-81e3-4697-aa0c-6edec55c1c7c,,,,
2026-02-11T14:00:54.778919+00:00,exact,84401f9b-5c2b-4edb-900a-3b6d13657fd7,Cucumber,"Cucumbers are sold in May, along with black lettuces, gotte and Georges lettuces, melons, green romaine, carrots, turnips, radishes, sorrel, parsley, certeuil, tarragon, salad burnet, green beans, carde-poirée, and mushrooms.",038c69df-d4d4-4e07-b8cc-22009af9a737,,,,
2026-02-11T14:00:54.778956+00:00,exact,84401f9b-5c2b-4edb-900a-3b6d13657fd7,Cucumber,"Cucumbers are sold in May, along with black lettuces, gotte and Georges lettuces, melons, green romaine, carrots, turnips, radishes, sorrel, parsley, certeuil, tarragon, salad burnet, green beans, carde-poirée, and mushrooms.",18d0bea4-23fa-4a74-a9d1-71664b8a6f68,,,,
2026-02-11T14:00:54.778994+00:00,exact,cb0fe0f4-c491-4f1d-b68d-a7a638638a88,chard,Chard is a plant that can be ridged to make it more tender.,1d2d24ed-aceb-423b-be6f-94b92d513e2f,,,,
2026-02-11T14:00:54.779017+00:00,exact,cb0fe0f4-c491-4f1d-b68d-a7a638638a88,chard,Chard is a plant that can be ridged to make it more tender.,bfafbcb3-47c4-41b8-b09b-2271e7a59ba5,,,,
2026-02-11T14:00:54.779041+00:00,exact,aaf72f3f-e18b-4dbb-aca9-ea4f3b5bca2c,parsley,Parsley is available in May along with other vegetables and herbs.,00d753f2-a988-4bcf-9b39-734873ed7a1c,,,,
2026-02-11T14:00:54.779064+00:00,exact,aaf72f3f-e18b-4dbb-aca9-ea4f3b5bca2c,parsley,Parsley is available in May along with other vegetables and herbs.,a54ef4ed-b467-4457-9f78-b180101e02ec,,,,
2026-02-11T14:00:54.779089+00:00,exact,96b5a7bd-2f9c-43df-a8d3-74013af697a3,Carrots,"Carrots are sold in May, and a market garden must have a carpet of varied greenery to replace mature plants delivered for consumption.",ec852fe1-5cd8-4f6b-8734-69deb63f24f9,,,,
2026-02-11T14:00:54.779117+00:00,exact,96b5a7bd-2f9c-43df-a8d3-74013af697a3,Carrots,"Carrots are sold in May, and a market garden must have a carpet of varied greenery to replace mature plants delivered for consumption.",321cb85f-51f9-4cbf-8028-39860e0be5c1,,,,
